a,pg,aLabel,born,died
http://www.wikidata.org/entity/Q283496,193,Edna Ferber,1885-08-15T00:00:00Z,1968-04-16T00:00:00Z
http://www.wikidata.org/entity/Q285514,693,Margaret Sanger,1879-09-14T00:00:00Z,1966-09-06T00:00:00Z
http://www.wikidata.org/entity/Q298213,48119,Sylvia Pankhurst,1882-05-05T00:00:00Z,1960-09-27T00:00:00Z
http://www.wikidata.org/entity/Q389375,786,Marie Adelaide Belloc Lowndes,1868-08-05T00:00:00Z,1947-11-14T00:00:00Z
http://www.wikidata.org/entity/Q448376,1138,Ella Wheeler Wilcox,1850-11-05T00:00:00Z,1919-10-30T00:00:00Z
http://www.wikidata.org/entity/Q467935,747,Sarah Fielding,1710-01-08T00:00:00Z,1768-04-09T00:00:00Z
http://www.wikidata.org/entity/Q467935,747,Sarah Fielding,1710-11-08T00:00:00Z,1768-04-09T00:00:00Z
http://www.wikidata.org/entity/Q565684,51896,Anne Parrish,1888-11-12T00:00:00Z,1957-09-05T00:00:00Z
http://www.wikidata.org/entity/Q1156193,46476,Eleanor Mildred Sidgwick,1845-03-11T00:00:00Z,1936-02-10T00:00:00Z
http://www.wikidata.org/entity/Q1568956,5335,Violet Florence Martin,1862-06-11T00:00:00Z,1915-12-21T00:00:00Z
http://www.wikidata.org/entity/Q2421158,8002,Marko Vovchok,1833-12-22T00:00:00Z,1907-08-10T00:00:00Z
http://www.wikidata.org/entity/Q2803039,5007,Margot Vos,1891-11-10T00:00:00Z,1985-12-01T00:00:00Z
http://www.wikidata.org/entity/Q2899250,275,Bertha Muzzy Bower,1871-11-15T00:00:00Z,1940-07-22T00:00:00Z
http://www.wikidata.org/entity/Q2899250,275,Bertha Muzzy Bower,1871-11-15T00:00:00Z,1940-07-23T00:00:00Z
http://www.wikidata.org/entity/Q3194039,661,Katherine Prescott Wormeley,1830-01-14T00:00:00Z,1908-08-04T00:00:00Z
http://www.wikidata.org/entity/Q5045123,6153,Caroline Kirkland,1801-01-11T00:00:00Z,1864-04-06T00:00:00Z
http://www.wikidata.org/entity/Q5171176,51904,Cornelia Phillips Spencer,1825-03-20T00:00:00Z,1908-03-11T00:00:00Z
http://www.wikidata.org/entity/Q5360368,731,Elia W. Peattie,1862-01-15T00:00:00Z,1935-01-01T00:00:00Z
